author,content,country,date_time,id,language,latitude,longitude,number_of_likes,number_of_shares
Twitter,"@StarTrek @WilliamShatner Enjoy your time on the bridge, Captain. https://t.co/BgEghtsJwP",,05/01/2017 01:54,8.16825e+17,en,,,258,73
Twitter,"@TheAlexNevil The plot, the character development, the dialogue — this is one of the best bedtime stories we’ve ever read. 😉",,05/01/2017 01:53,8.16825e+17,en,,,17,5
Twitter,"@De_Li_Yang New year, new us. 😎",,05/01/2017 01:09,8.16814e+17,en,,,16,7
Twitter,"What'd you do over the holidays?

Turn your memories into a Moment in time, and share yours with #HolidayMoments! https://t.co/8wAkuUuLSh",,04/01/2017 22:14,8.1677e+17,en,,,1179,228
Twitter,"The red carpet will be a little more golden. 

Watch the #GoldenGlobes Red Carpet LIVE on Twitter this Sunday! https://t.co/9z4F3XlsiN",,04/01/2017 20:36,8.16745e+17,en,,,698,205
Twitter,@KimKardashian ❤️,,04/01/2017 01:55,8.16463e+17,und,,,449,90
Twitter,"@kamerynrenee *Opens Twitter, sees 10,000+ RTs* https://t.co/0vT49BohET",,04/01/2017 01:55,8.16463e+17,en,,,108,27
Twitter,@katy_red This could be the start to a beautiful modern day love story. 😍 https://t.co/xgVJZ0OTzC,,04/01/2017 01:54,8.16463e+17,en,,,29,8
Twitter,@jgrimesbaylor Nice.,,04/01/2017 01:53,8.16463e+17,en,,,39,14
Twitter,@_David_Edward The purveyor of fine GIFs meets #Stickers. Let the fun begin!,,04/01/2017 01:53,8.16462e+17,en,,,34,17
Twitter,"Join the @verge at #CES2017 for a peek into the latest in gadgets and tech!

LIVE this week on Twitter at 7:30 ET. 👇
https://t.co/FdGWcWcAGi",,03/01/2017 21:42,8.16399e+17,en,,,612,209
Twitter,"Walk the red carpet, wherever you are.

Watch the #GoldenGlobes Red Carpet LIVE right here on Twitter! https://t.co/mcCZ9S04ga",,03/01/2017 20:24,8.1638e+17,en,,,1585,464
Twitter,"#CES2017 is streaming LIVE on Twitter this week with the @verge!
https://t.co/Xc5bLIuE8L",,03/01/2017 14:23,8.16289e+17,en,,,889,373
Twitter,"@waynebrady And a happy belated New Year to you too. 2017, let's goooo! 🙌",,03/01/2017 01:42,8.16097e+17,en,,,50,12
Twitter,@JakeBrand33 Straight fire 🔥,,03/01/2017 01:40,8.16097e+17,en,,,26,6
Twitter,@AmazingPhil Dat face swap doe. 😍,,03/01/2017 01:40,8.16097e+17,en,,,1210,143
Twitter,"@PaperRobot It’s a masterpiece, an absolute masterpiece.",,03/01/2017 01:40,8.16097e+17,en,,,22,5
Twitter,You write the story of 2017. #HappyNewYear https://t.co/cyvz6VvQ3n,,01/01/2017 03:31,8.154e+17,en,,,6834,3382
Twitter,"Big Ben's hand is on the 12. It's time to celebrate! #HappyNewYear

https://t.co/YiQ3FHpaPx",,01/01/2017 00:05,8.15348e+17,en,,,2330,709
Twitter,“To sit back and let fate play its hand out and never influence it is not the way man was meant to operate.” https://t.co/U7cUApqcz7,,31/12/2016 23:30,8.15339e+17,en,,,1541,526
Twitter,"""Don’t count the days; make the days count."" https://t.co/uiedUxLbg4",,31/12/2016 22:37,8.15326e+17,en,,,5668,3044
Twitter,"""Despite everything, no one can dictate who you are to other people."" https://t.co/Vw9cZsFGqI",,31/12/2016 21:32,8.1531e+17,en,,,2609,956
Twitter,"""The truth is of course is that there is no journey. We are arriving and departing all at the same time.” https://t.co/BiTUBTADF1",,31/12/2016 20:31,8.15294e+17,en,,,1834,663
Twitter,"In 2016, #ThisHappened https://t.co/6pZjo8fylG",,31/12/2016 18:26,8.15263e+17,und,,,5076,2422
Twitter,"From Rio to Euro and everything in between. These were the most talked about trends around the globe in 2016.
https://t.co/LQJNkKE8of",,31/12/2016 17:34,8.1525e+17,en,,,811,289
Twitter,@SurfBelle2 Always and forever.,,30/12/2016 23:28,8.14977e+17,en,,,43,14
Twitter,@clemmiewessonxo Was it love at first Tweet? https://t.co/ewnEtnbtxu,,30/12/2016 23:17,8.14974e+17,en,,,105,35
Twitter,@MoonglowMendes Do you really love @ShawnMendes more than pizza? Because that’s a bold statement.,,30/12/2016 23:15,8.14973e+17,en,,,41,17
Twitter,@smcfarris That’s the beauty of this community. Everyone has a unique story to tell.,,30/12/2016 23:15,8.14973e+17,en,,,31,14
Twitter,"@adinkolansky A fam that Tweets together, stays together.",,30/12/2016 23:12,8.14972e+17,en,,,43,18
Twitter,@AndreaMjaraa This thread. 🙌,,30/12/2016 23:11,8.14972e+17,en,,,40,12
Twitter,@tg_stay_humble We got you fam. 😎,,29/12/2016 23:46,8.14619e+17,en,,,74,24
Twitter,@jordanbeauyo Awwwww 😍,,29/12/2016 23:45,8.14618e+17,und,,,37,13
Twitter,@KERI25 There are some days we just don't forget. 😉,,29/12/2016 23:40,8.14617e+17,en,,,47,20
Twitter,"@reemixtape Oh stop it, you’re making us blush. 😊 https://t.co/U94r65pu3C",,29/12/2016 23:40,8.14617e+17,en,,,54,16
Twitter,@nadiacorinne And here’s to many more to come. 🙌,,29/12/2016 23:37,8.14616e+17,en,,,29,14
Twitter,"@gdotbeaber @Anna_Marie03 We hate taking sides, but we’re rooting for Anna on this one.",,29/12/2016 23:36,8.14616e+17,en,,,23,11
Twitter,"Wherever your New Year's celebrations take you, share it with the world. #GoLive https://t.co/QM34ewSLRK",,29/12/2016 16:01,8.14502e+17,en,,,2643,486
Twitter,"A beloved mother &amp; actress, rest in peace.
https://t.co/Ym1AFRqmDB",,29/12/2016 02:32,8.14298e+17,en,,,5711,2420
Twitter,@GoneFishkin We can’t handle the suspense. https://t.co/hVLjkyhCDl,,29/12/2016 00:46,8.14271e+17,en,,,87,29
Twitter,@colormeboy Someone say Twitter party? #2016In4Words https://t.co/yb1LKRXOP9,,29/12/2016 00:44,8.14271e+17,en,,,101,32
Twitter,@phillipreece The world is only one Tweet away.,,29/12/2016 00:40,8.1427e+17,en,,,34,11
Twitter,"@emmaplan Crazy, right? https://t.co/HgXB92TyAb",,29/12/2016 00:39,8.1427e+17,en,,,56,15
Twitter,@SkylarrMichelle TBH we’re excited for all of it. https://t.co/Rm07k4oeR1,,29/12/2016 00:38,8.14269e+17,en,,,36,17
